[2025-05-22T06:05:26.961638+00:00] 🔄 Checking active executions...
[2025-05-22T06:05:35.696855+00:00] 🔍 Trade 1619: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13367 | PL: -1.03000
[2025-05-22T06:05:35.791158+00:00] 🔍 Trade 1617: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13366 | PL: -1.02000
[2025-05-22T06:05:35.882081+00:00] 🔍 Trade 1615: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13366 | PL: -1.02000
[2025-05-22T06:05:35.966550+00:00] 🔍 Trade 1613: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13366 | PL: -1.02000
[2025-05-22T06:05:36.063249+00:00] 🔍 Trade 1611: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13366 | PL: -1.02000
[2025-05-22T06:05:36.161624+00:00] 🔍 Trade 1609: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13365 | PL: -1.01000
[2025-05-22T06:05:36.249272+00:00] 🔍 Trade 1607: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13365 | PL: -1.01000
[2025-05-22T06:05:36.346132+00:00] 🔍 Trade 1605: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13365 | PL: -1.01000
[2025-05-22T06:05:36.462216+00:00] 🔍 Trade 1603: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13365 | PL: -1.01000
[2025-05-22T06:05:36.694485+00:00] 🔍 Trade 1601: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13365 | PL: -1.01000
[2025-05-22T06:05:36.803488+00:00] 🔍 Trade 1599: EUR_USD | Units: -1000 | Open: 1.13263 | Now: 1.13365 | PL: -1.02000
[2025-05-22T06:05:36.891705+00:00] 🔍 Trade 1597: EUR_USD | Units: -1000 | Open: 1.13263 | Now: 1.13365 | PL: -1.02000
[2025-05-22T06:05:36.973916+00:00] 🔍 Trade 1595: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13365 | PL: -1.01000
[2025-05-22T06:05:37.065550+00:00] 🔍 Trade 1593: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13366 | PL: -1.02000
[2025-05-22T06:05:37.153330+00:00] 🔍 Trade 1591: EUR_USD | Units: -1000 | Open: 1.13263 | Now: 1.13362 | PL: -0.99000
[2025-05-22T06:05:37.239269+00:00] 🔍 Trade 1589: EUR_USD | Units: -1000 | Open: 1.13263 | Now: 1.13355 | PL: -0.92000
[2025-05-22T06:05:37.321488+00:00] 🔍 Trade 1587: EUR_USD | Units: -1000 | Open: 1.13263 | Now: 1.13355 | PL: -0.92000
[2025-05-22T06:05:37.410217+00:00] 🔍 Trade 1585: EUR_USD | Units: -1000 | Open: 1.13263 | Now: 1.13355 | PL: -0.92000
[2025-05-22T06:05:37.502730+00:00] 🔍 Trade 1583: EUR_USD | Units: -1000 | Open: 1.13263 | Now: 1.13356 | PL: -0.93000
[2025-05-22T06:05:37.603192+00:00] 🔍 Trade 1581: EUR_USD | Units: -1000 | Open: 1.13263 | Now: 1.13356 | PL: -0.93000
[2025-05-22T06:05:37.687706+00:00] 🔍 Trade 1579: EUR_USD | Units: -1000 | Open: 1.13263 | Now: 1.13356 | PL: -0.93000
[2025-05-22T06:05:37.783681+00:00] 🔍 Trade 1577: EUR_USD | Units: -1000 | Open: 1.13263 | Now: 1.13356 | PL: -0.93000
[2025-05-22T06:05:37.871554+00:00] 🔍 Trade 1575: EUR_USD | Units: -1000 | Open: 1.13261 | Now: 1.13356 | PL: -0.95000
[2025-05-22T06:05:37.949994+00:00] 🔍 Trade 1573: EUR_USD | Units: -1000 | Open: 1.13261 | Now: 1.13356 | PL: -0.95000
[2025-05-22T06:05:38.039287+00:00] 🔍 Trade 1571: EUR_USD | Units: -1000 | Open: 1.13261 | Now: 1.13355 | PL: -0.94000
[2025-05-22T06:05:38.139303+00:00] 🔍 Trade 1569: EUR_USD | Units: -1000 | Open: 1.13261 | Now: 1.13354 | PL: -0.93000
[2025-05-22T06:05:38.242170+00:00] 🔍 Trade 1567: EUR_USD | Units: -1000 | Open: 1.13261 | Now: 1.13355 | PL: -0.94000
[2025-05-22T06:05:38.328169+00:00] 🔍 Trade 1565: EUR_USD | Units: -1000 | Open: 1.13261 | Now: 1.13355 | PL: -0.94000
[2025-05-22T06:05:38.425825+00:00] 🔍 Trade 1563: EUR_USD | Units: -1000 | Open: 1.13261 | Now: 1.13355 | PL: -0.94000
[2025-05-22T06:05:38.516255+00:00] 🔍 Trade 1561: EUR_USD | Units: -1000 | Open: 1.13261 | Now: 1.13355 | PL: -0.94000
[2025-05-22T06:05:38.610885+00:00] 🔍 Trade 1559: EUR_USD | Units: -1000 | Open: 1.13261 | Now: 1.13355 | PL: -0.94000
[2025-05-22T06:05:38.707666+00:00] 🔍 Trade 1557: EUR_USD | Units: -1000 | Open: 1.13261 | Now: 1.13355 | PL: -0.94000
[2025-05-22T06:05:38.796637+00:00] 🔍 Trade 1555: EUR_USD | Units: -1000 | Open: 1.13259 | Now: 1.13355 | PL: -0.96000
[2025-05-22T06:05:38.890783+00:00] 🔍 Trade 1553: EUR_USD | Units: -1000 | Open: 1.13259 | Now: 1.13355 | PL: -0.96000
[2025-05-22T06:05:38.980857+00:00] 🔍 Trade 1551: EUR_USD | Units: -1000 | Open: 1.13259 | Now: 1.13355 | PL: -0.96000
[2025-05-22T06:05:39.066534+00:00] 🔍 Trade 1549: EUR_USD | Units: -1000 | Open: 1.13259 | Now: 1.13354 | PL: -0.95000
[2025-05-22T06:05:39.166992+00:00] 🔍 Trade 1547: EUR_USD | Units: -1000 | Open: 1.13259 | Now: 1.13354 | PL: -0.95000
[2025-05-22T06:05:39.258309+00:00] 🔍 Trade 1545: EUR_USD | Units: -1000 | Open: 1.13259 | Now: 1.13354 | PL: -0.95000
[2025-05-22T06:05:39.359290+00:00] 🔍 Trade 1543: EUR_USD | Units: -1000 | Open: 1.13259 | Now: 1.13354 | PL: -0.95000
[2025-05-22T06:05:39.456759+00:00] 🔍 Trade 1541: EUR_USD | Units: -1000 | Open: 1.13259 | Now: 1.13354 | PL: -0.95000
[2025-05-22T06:05:39.556824+00:00] 🔍 Trade 1539: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13356 | PL: -0.91000
[2025-05-22T06:05:39.652143+00:00] 🔍 Trade 1537: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13356 | PL: -0.91000
[2025-05-22T06:05:39.750081+00:00] 🔍 Trade 1535: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13355 | PL: -0.90000
[2025-05-22T06:05:39.838824+00:00] 🔍 Trade 1533: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13355 | PL: -0.90000
[2025-05-22T06:05:39.935363+00:00] 🔍 Trade 1531: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13355 | PL: -0.90000
